City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Butaritari,KI,81.75,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
14,Kapaa,US,76.48,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,Grand Gaube,MU,77.4,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
16,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
18,Akyab,MM,85.66,broken clouds,20.15,92.9,Hotel Memory
19,Falam,MM,78.01,scattered clouds,22.9167,93.6833,Falang Government Guesthouse
21,Rikitea,PF,77.79,clear sky,-23.1203,-134.9692,People ThankYou
33,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
38,Hilo,US,80.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
44,Atuona,PF,79.23,light rain,-9.8,-139.0333,Villa Enata
47,Puerto Ayora,EC,75.85,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
52,Carnarvon,AU,84.38,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
58,Cayenne,GF,81.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
61,Bathsheba,BB,78.06,scattered clouds,13.2167,-59.5167,Atlantis Hotel
66,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
72,Bosaso,SO,81.81,broken clouds,11.2842,49.1816,Red Sea Hotel
73,Cabo San Lucas,MX,76.6,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
78,Puerto Escondido,MX,82.26,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
83,Ciudad Bolivar,VE,81.0,overcast clouds,8.1222,-63.5497,Hotel Edi
86,Nicoya,CR,82.36,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
94,Carmen,MX,81.63,scattered clouds,18.6333,-91.8333,Hotel Lossandes
96,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
102,Kulhudhuffushi,MV,84.31,overcast clouds,6.6221,73.07,Haajy Guest House 1
104,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
106,Galesong,ID,78.82,moderate rain,-5.3166,119.3661,Sapriadi Appy
108,Cockburn Town,TC,77.54,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
113,Tarakan,ID,80.71,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
117,Kirakira,SB,84.54,broken clouds,-10.4544,161.9205,SanBiz Lodge
120,Labuhan,ID,84.18,overcast clouds,-6.8844,112.2051,DoubleFAG
122,Lashio,MM,83.97,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
124,Mackay,AU,85.68,few clouds,-21.15,149.2,International Lodge Motel
125,Christchurch,NZ,76.41,overcast clouds,-43.5333,172.6333,The George
127,San Patricio,US,75.18,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
133,Caravelas,BR,76.15,light rain,-17.7125,-39.2481,Pousada dos Navegantes
137,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
138,San Andres,CO,80.65,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
139,Isangel,VU,84.24,few clouds,-19.55,169.2667,Tanna Lodge
141,Sabang,ID,83.01,overcast clouds,5.8933,95.3214,Hotel Citra
142,Hithadhoo,MV,82.56,scattered clouds,-0.6,73.0833,Scoop Guest House
144,Vaitape,PF,82.44,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
145,Port Blair,IN,84.24,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
151,Kavieng,PG,84.15,light rain,-2.5744,150.7967,Nusa Island Retreat
156,Georgetown,MY,85.95,thunderstorm,5.4112,100.3354,Cititel Penang
160,Mecca,SA,79.39,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
161,Kimbe,PG,88.25,light rain,-5.5502,150.1429,Kimbe Bay Hotel
162,Trairi,BR,76.86,broken clouds,-3.2778,-39.2689,janelas do mar
170,Touros,BR,80.26,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
171,Meulaboh,ID,80.89,broken clouds,4.1363,96.1285,Kost Pria
176,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
180,Samarai,PG,83.5,overcast clouds,-10.6167,150.6667,Nuli Sapi
185,Bandarbeyla,SO,82.49,overcast clouds,9.4942,50.8122,JABIR HOTEL
196,Kerrville,US,75.45,scattered clouds,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
197,Bowen,AU,80.78,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
200,Faanui,PF,82.44,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
201,Kismayo,SO,80.87,broken clouds,-0.3582,42.5454,Agan-Hotel
202,Takoradi,GH,79.14,overcast clouds,4.8845,-1.7554,Raybow International Hotel
205,Waingapu,ID,86.0,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
207,Roura,GF,80.96,few clouds,4.7263,-52.3274,Amazonie Découverte SARL
208,Bairiki,KI,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
218,Palasa,IN,86.11,few clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
220,Del Rio,US,84.31,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
222,Pandan,PH,83.52,scattered clouds,14.0453,124.1694,Bonifacio Lodge
227,Kawalu,ID,81.84,overcast clouds,-7.3817,108.2082,West Jontor
229,Nuevo Progreso,MX,77.54,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
237,Balikpapan,ID,81.59,moderate rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
238,Port-Gentil,GA,80.08,overcast clouds,-0.7193,8.7815,Fengshui Residence
240,Pirawa,IN,83.32,clear sky,24.1551,76.0273,Dag road pirawa
249,Atambua,ID,83.68,broken clouds,-9.1061,124.8925,Kost Alfa Flat
256,Teseney,ER,86.61,broken clouds,15.11,36.6575,Sabrin Hotel
258,Kota Bahru,MY,81.81,overcast clouds,6.1333,102.2386,Grand Riverview Hotel
259,Mareeba,AU,81.48,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
265,Carutapera,BR,75.87,overcast clouds,-1.195,-46.02,Lidera
272,Tirukkoyilur,IN,84.18,few clouds,11.95,79.2,Hotel SKTC Grand Palace
285,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
287,Tiarei,PF,87.82,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
288,Amahai,ID,87.66,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
293,Sampit,ID,78.57,heavy intensity rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
299,Stawell,AU,76.08,clear sky,-37.05,142.7667,Motel Stawell
305,Bengkulu,ID,81.21,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
306,Pemba,MZ,77.7,scattered clouds,-12.974,40.5178,Guesthouse Samotina
309,Road Town,VG,78.84,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
311,Banda Aceh,ID,83.62,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
315,Morondava,MG,78.1,clear sky,-20.2833,44.2833,La Case Bambou
321,Bima,ID,88.18,scattered clouds,-8.4667,118.7167,Lambitu Hotel
322,San Antero,CO,81.32,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
324,Belmonte,BR,76.28,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
332,Yeppoon,AU,80.38,clear sky,-23.1333,150.7333,Villa Mar Colina
337,Mazatlan,MX,75.9,few clouds,23.2167,-106.4167,Hotel La Siesta
339,Tam Ky,VN,82.89,scattered clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
343,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
345,Balancan,MX,89.28,broken clouds,17.8,-91.5333,Hotel Balam Ku
346,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
347,Luganville,VU,84.49,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
350,Srikakulam,IN,85.48,scattered clouds,18.3,83.9,Micro Systems
357,Tura,IN,77.61,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
358,Sur,OM,86.16,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
362,Alyangula,AU,79.9,light rain,-13.8483,136.4192,Groote Eylandt Lodge
368,Ewa Beach,US,80.55,few clouds,21.3156,-158.0072,Base Lodging
370,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
373,Soyo,AO,77.13,overcast clouds,-6.1349,12.3689,Hotel Mpampa
375,Singaraja,ID,86.77,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
377,Pitimbu,BR,81.19,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
378,Puerto Baquerizo Moreno,EC,75.58,few clouds,-0.9,-89.6,Hotel los Algarrobos
379,Kampot,KH,87.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
383,Hafizabad,PK,77.49,clear sky,32.0679,73.6854,SAM
384,Bhakkar,PK,81.48,clear sky,31.6253,71.0657,Gorcha Nashaib
386,Lorengau,PG,84.81,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
388,Inhambane,MZ,76.3,light rain,-23.865,35.3833,Oceano
390,Panukulan,PH,80.92,broken clouds,14.9333,121.8144,AC Lodging House
392,Dwarka,IN,80.29,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
397,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
399,Port Moresby,PG,84.81,moderate rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
400,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
405,Alofi,NU,80.85,light rain,-19.0595,-169.9187,Taloa Heights
409,Tuy Hoa,VN,81.43,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
412,Carlagan,PH,80.83,broken clouds,14.975,122.0456,Cabatagan Island
413,Fort Myers Beach,US,75.02,broken clouds,26.452,-81.9481,Lani Kai Island Resort
414,Seddon,AU,83.61,clear sky,-37.8068,144.8916,Footscray Motor Inn
420,Ambon,ID,85.05,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
429,Mana,GF,77.41,overcast clouds,5.6592,-53.7767,LE SAMANA
430,Saint-Pierre,RE,75.9,few clouds,-21.3393,55.4781,Lindsey Hôtel
431,Pocone,BR,76.44,overcast clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
436,Mogadishu,SO,81.03,overcast clouds,2.0371,45.3438,Hotel Juba
445,Bartica,GY,77.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
450,Chake Chake,TZ,77.95,moderate rain,-5.2459,39.7666,Hotel Archipelago
451,Namatanai,PG,85.19,light rain,-3.6667,152.4333,Seagulls Inn Namatani
454,Sinnamary,GF,77.92,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
456,Batticaloa,LK,80.71,broken clouds,7.7102,81.6924,Grand Star Guest House
458,Dalbandin,PK,78.98,clear sky,28.8947,64.4101,Sanjrani House
461,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
462,Kattivakkam,IN,86.09,overcast clouds,13.2167,80.3167,Euronova Freezer
463,Eydhafushi,MV,84.31,overcast clouds,5.1033,73.0708,Soneva Fushi
464,Makakilo City,US,79.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
472,Weligama,LK,81.7,scattered clouds,5.9667,80.4167,Weligama Bay Resort
480,Palimbang,PH,84.96,broken clouds,6.2106,124.1894,Felmar Beach resort
481,Kununurra,AU,89.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
484,Davila,PH,89.58,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
486,Porbandar,IN,80.31,clear sky,21.6422,69.6093,Lords Inn Porbandar
492,Uthal,PK,80.91,clear sky,25.8072,66.6219,Al-Mustafa Hotel
497,Udaipura,IN,86.13,clear sky,23.0833,78.5,Hotel Kanha Palace
502,Jiwani,PK,81.14,scattered clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
510,Key West,US,82.4,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
514,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
524,Sola,VU,82.24,overcast clouds,-13.8833,167.55,Leumerus Bungalows
525,Caucaia,BR,83.03,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
530,Taranagar,IN,83.66,clear sky,28.6709,75.0351,Jyani Plaza
536,Benguela,AO,76.32,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
539,Tulagi,SB,82.17,overcast clouds,-9.0996,160.1476,Raiders Hotel & Dive
544,Santarem,BR,77.13,thunderstorm,-2.4431,-54.7083,Hotel Imperador
549,Porto Novo,BJ,80.33,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
551,Bitung,ID,88.65,overcast clouds,1.4451,125.1824,K2 Lembeh
552,Dingle,PH,84.36,few clouds,10.9995,122.6711,SEGAYA PROPERTY
558,Nguru,NG,84.27,overcast clouds,12.8791,10.4526,Government Lodge
564,Kumta,IN,82.81,overcast clouds,14.4167,74.4,Hotel Vaibhav Palace
566,Kailua,US,80.58,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
569,Salina Cruz,MX,83.21,scattered clouds,16.1667,-95.2,Amerik HOTEL
575,Basco,PH,76.62,broken clouds,20.4487,121.9702,Nathaniel's Lodge
576,Maumere,ID,85.71,broken clouds,-8.6199,122.2111,Sylvia Hotel
579,Berbera,SO,81.73,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
584,Hambantota,LK,82.26,broken clouds,6.1241,81.1185,Bungalow 63
592,Houma,US,75.2,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
593,Maragogi,BR,79.07,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
600,Vao,NC,75.87,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
601,Bac Lieu,VN,84.88,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
605,Ler,SS,77.05,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
606,Buala,SB,84.38,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
609,Biu,NG,81.3,overcast clouds,10.6129,12.1946,Emir's Palace
612,Sibolga,ID,82.44,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
613,Mitsamiouli,KM,81.79,light rain,-11.3847,43.2844,Foyer ADM
614,Tra Vinh,VN,84.45,overcast clouds,9.9347,106.3453,Hồng Ân
615,Gizo,SB,83.89,light rain,-8.103,156.8419,Imagination Island
