City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,36.86,97,100,12.86,moderate rain
1,Trapani,IT,37.8333,12.6667,59.27,56,100,5.73,overcast clouds
2,Vostok,RU,46.4856,135.8833,45.91,42,98,10.36,overcast clouds
3,Butaritari,KI,3.0707,172.7902,81.75,73,46,11.07,scattered clouds
4,Barrow,US,71.2906,-156.7887,6.82,78,0,26.46,clear sky
5,Port Alfred,ZA,-33.5906,26.891,58.91,71,96,4.88,overcast clouds
6,Buraydah,SA,26.326,43.975,72.05,42,0,5.84,clear sky
7,Sarakhs,IR,36.5449,61.1577,62.04,38,100,20.24,overcast clouds
8,Baykit,RU,61.67,96.37,37.83,99,100,2.21,overcast clouds
9,Evensk,RU,61.95,159.2333,29.46,74,92,3.27,overcast clouds
10,Poum,NC,-20.2333,164.0167,78.19,70,20,13.09,few clouds
11,Punta Arenas,CL,-53.15,-70.9167,46.51,81,0,21.85,clear sky
12,Nouadhibou,MR,20.931,-17.0347,62.58,94,0,11.5,clear sky
13,New Norfolk,AU,-42.7826,147.0587,63.66,54,100,1.01,overcast clouds
14,Kapaa,US,22.0752,-159.319,76.48,77,100,5.99,overcast clouds
15,Grand Gaube,MU,-20.0064,57.6608,77.4,87,68,7.0,light rain
16,Vaini,TO,-21.2,-175.2,84.36,70,20,8.05,few clouds
17,Delmas,HT,18.5447,-72.3028,73.9,84,86,4.56,overcast clouds
18,Akyab,MM,20.15,92.9,85.66,66,54,6.53,broken clouds
19,Falam,MM,22.9167,93.6833,78.01,35,45,2.51,scattered clouds
20,Codrington,AU,-38.2667,141.9667,73.99,47,15,4.12,few clouds
21,Rikitea,PF,-23.1203,-134.9692,77.79,72,3,14.47,clear sky
22,Ostrovnoy,RU,68.0531,39.5131,16.12,95,69,8.77,broken clouds
23,Aklavik,CA,68.2191,-135.0107,8.08,77,100,6.13,overcast clouds
24,Saint George,US,37.1041,-113.5841,73.26,19,73,3.0,broken clouds
25,Wakkanai,JP,45.4094,141.6739,46.38,36,0,5.75,clear sky
26,Busselton,AU,-33.65,115.3333,69.46,55,78,9.17,broken clouds
27,Lauchhammer,DE,51.5,13.8,42.12,93,76,9.4,broken clouds
28,Thompson,CA,55.7435,-97.8558,23.16,42,75,9.22,broken clouds
29,Chernyshevskiy,RU,63.0128,112.4714,17.33,80,78,2.84,broken clouds
30,Lethem,GY,3.3803,-59.7968,74.46,82,99,6.13,overcast clouds
31,Hobart,AU,-42.8794,147.3294,64.02,66,75,9.22,broken clouds
32,Fortuna,US,40.5982,-124.1573,45.09,87,75,0.0,light rain
33,Quatre Cocos,MU,-20.2078,57.7625,77.11,79,92,21.97,light rain
34,Kalabo,ZM,-14.97,22.6814,67.71,83,83,3.31,broken clouds
35,Hermanus,ZA,-34.4187,19.2345,56.8,70,51,14.56,broken clouds
36,Nanortalik,GL,60.1432,-45.2371,26.67,80,97,12.48,overcast clouds
37,Vilhena,BR,-12.7406,-60.1458,69.51,93,99,2.82,overcast clouds
38,Hilo,US,19.7297,-155.09,80.28,89,100,5.01,light rain
39,Severo-Kurilsk,RU,50.6789,156.125,32.4,82,100,3.51,overcast clouds
40,Lebu,CL,-37.6167,-73.65,52.5,91,6,12.88,clear sky
41,Ponta Do Sol,PT,32.6667,-17.1,63.23,59,94,4.65,overcast clouds
42,Nikolskoye,RU,59.7035,30.7861,37.29,89,68,10.96,broken clouds
43,Kodiak,US,57.79,-152.4072,38.71,87,100,14.97,light rain
44,Atuona,PF,-9.8,-139.0333,79.23,77,20,16.17,light rain
45,Airai,TL,-8.9266,125.4092,74.61,60,54,1.07,broken clouds
46,Bluff,NZ,-46.6,168.3333,55.8,62,18,34.52,few clouds
47,Puerto Ayora,EC,-0.7393,-90.3518,75.85,90,71,7.58,broken clouds
48,Yumen,CN,40.2833,97.2,41.38,24,0,24.92,clear sky
49,Constitucion,CL,-35.3333,-72.4167,50.58,89,0,7.9,clear sky
50,Adrar,MR,20.5022,-10.0711,77.94,15,1,8.99,clear sky
51,Barcelos,PT,41.5388,-8.6151,56.91,90,62,2.57,broken clouds
