City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tasiilaq,65.6145,-37.6368,15.96,86,60,3.94,GL,2022-04-10 23:14:16
1,Leningradskiy,69.3833,178.4167,0.28,89,70,4.97,RU,2022-04-10 23:14:17
2,Provideniya,64.3833,-173.3,26.71,80,100,8.99,RU,2022-04-10 23:14:03
3,Barrow,71.2906,-156.7887,1.42,71,100,18.41,US,2022-04-10 23:14:17
4,Arraial Do Cabo,-22.9661,-42.0278,75.88,81,51,6.96,BR,2022-04-10 23:14:17
5,Volkhov,59.9258,32.3382,33.85,89,8,8.34,RU,2022-04-10 23:14:18
6,Alto Araguaia,-17.3147,-53.2153,76.01,73,66,2.57,BR,2022-04-10 23:14:18
7,Vaini,-21.2,-175.2,78.96,89,75,6.91,TO,2022-04-10 23:14:19
8,Mar Del Plata,-38.0023,-57.5575,70.09,97,100,20.0,AR,2022-04-10 23:11:36
9,Thompson,55.7435,-97.8558,35.76,75,75,10.36,CA,2022-04-10 23:14:19
10,Khatanga,71.9667,102.5,1.81,97,97,1.3,RU,2022-04-10 23:14:19
11,Punta Arenas,-53.15,-70.9167,46.51,66,0,5.75,CL,2022-04-10 23:14:20
12,Port Elizabeth,-33.918,25.5701,67.1,97,100,5.99,ZA,2022-04-10 23:14:20
13,Praia,14.9215,-23.5087,70.34,78,40,18.41,CV,2022-04-10 23:14:21
14,Mataura,-46.1927,168.8643,60.44,52,2,8.72,NZ,2022-04-10 23:14:21
15,Te Anau,-45.4167,167.7167,53.53,76,55,9.31,NZ,2022-04-10 23:14:22
16,Namibe,-15.1961,12.1522,71.73,79,34,3.62,AO,2022-04-10 23:14:22
17,Cape Town,-33.9258,18.4232,69.91,67,1,8.99,ZA,2022-04-10 23:11:13
18,Cuiluan,47.72,128.648,41.04,62,100,7.81,CN,2022-04-10 23:14:23
19,Iquique,-20.2208,-70.1431,64.44,79,8,7.63,CL,2022-04-10 23:14:23
20,Beringovskiy,63.05,179.3167,30.31,88,100,11.56,RU,2022-04-10 23:14:23
21,Rikitea,-23.1203,-134.9692,79.54,72,3,17.76,PF,2022-04-10 23:14:24
22,Tuktoyaktuk,69.4541,-133.0374,2.43,83,87,11.52,CA,2022-04-10 23:14:24
23,Jamestown,42.097,-79.2353,40.05,50,75,9.22,US,2022-04-10 23:10:38
24,Maldonado,-34.6667,-54.9167,69.22,86,5,13.47,UY,2022-04-10 23:14:25
25,Abu Samrah,35.3029,37.1841,60.37,59,47,2.08,SY,2022-04-10 23:14:25
26,Hualmay,-11.0964,-77.6139,69.57,83,25,8.72,PE,2022-04-10 23:10:11
27,Kirakira,-10.4544,161.9205,82.54,78,81,3.94,SB,2022-04-10 23:14:26
28,Port Macquarie,-31.4333,152.9167,73.89,75,8,3.74,AU,2022-04-10 23:09:32
29,Jalu,29.0331,21.5482,70.12,19,0,18.19,LY,2022-04-10 23:14:26
30,Kralendijk,12.15,-68.2667,78.46,87,94,20.4,BQ,2022-04-10 23:14:26
31,Dikson,73.5069,80.5464,-8.36,100,100,4.85,RU,2022-04-10 23:14:27
32,Saint-Pierre,-21.3393,55.4781,76.68,81,75,12.66,RE,2022-04-10 23:14:27
33,San Cristobal,7.7669,-72.225,75.38,61,96,1.34,VE,2022-04-10 23:14:27
34,Busselton,-33.65,115.3333,52.05,86,76,8.52,AU,2022-04-10 23:14:28
35,Kapaa,22.0752,-159.319,80.58,82,100,12.66,US,2022-04-10 23:14:28
36,Avera,33.194,-82.5271,71.65,52,0,4.43,US,2022-04-10 23:14:28
37,Nikolskoye,59.7035,30.7861,37.29,91,8,8.3,RU,2022-04-10 23:14:29
38,Ushuaia,-54.8,-68.3,42.46,65,75,3.44,AR,2022-04-10 23:14:29
39,Alexandria,31.2156,29.9553,62.06,78,0,5.37,EG,2022-04-10 23:14:29
40,Lompoc,34.6391,-120.4579,76.12,59,0,28.01,US,2022-04-10 23:14:30
41,Laguna,38.421,-121.4238,76.14,20,0,14.97,US,2022-04-10 23:14:30
42,Teluk Nibung,3.001,99.8164,74.14,96,93,6.93,ID,2022-04-10 23:14:30
43,Srednekolymsk,67.45,153.6833,3.2,87,100,10.6,RU,2022-04-10 23:14:31
44,West Fargo,46.875,-96.9004,40.01,89,100,16.11,US,2022-04-10 23:14:31
45,Krasnokamensk,50.0979,118.0369,29.07,66,98,3.71,RU,2022-04-10 23:14:31
46,Bredasdorp,-34.5322,20.0403,63.05,93,5,8.19,ZA,2022-04-10 23:14:32
47,Garowe,8.4054,48.4845,73.06,88,5,6.58,SO,2022-04-10 23:14:32
48,Hilo,19.7297,-155.09,78.24,86,100,8.05,US,2022-04-10 23:15:32
49,Hithadhoo,-0.6,73.0833,83.57,71,26,13.47,MV,2022-04-10 23:15:33
50,Destin,30.3935,-86.4958,71.6,52,0,11.5,US,2022-04-10 23:15:33
51,Yantal,56.8471,105.2542,24.89,96,100,3.24,RU,2022-04-10 23:15:33
52,Vila Franca Do Campo,37.7167,-25.4333,57.61,70,83,21.3,PT,2022-04-10 23:15:34
53,Cartagena,10.3997,-75.5144,82.02,78,75,11.5,CO,2022-04-10 23:12:27
54,Haifa,32.8156,34.9892,62.17,91,21,5.57,IL,2022-04-10 23:15:34
55,Berlevag,70.8578,29.0864,33.6,98,100,29.93,NO,2022-04-10 23:15:35
